in_medium,in_source,in_campaign,in_referer,out_channel,out_source,out_campaign
cpc,adwords,,,Advertising,adwords,
cpc,bing,,,Advertising,bing,
cpc,bing,**2016-04%20%2f%20competitor%20%2f%20microsoft%20dynamics%20%2f%20us,,Advertising,bing,**2016-04 / competitor / microsoft dynamics / us
cpc,outbrain,,,Advertising,outbrain,
cpc,ppc,,,Advertising,ppc,
cpm,facebook,,,Advertising,facebook-ads,
cpm,facebook-ads,,,Advertising,facebook-ads,
cpm,pa,,,Advertising,pa,
cta,naughtybynurture landing page,naughty by nurture ebook,info.contactually.com,?,,
dm,twitter,,,Advertising,twitter,
email,,,,Email,,
email,hs_automation,,,Email,hubspot drips,
email,hs_email,,,Email,hubspot list sends,
facebook+trial,ppc,,,Advertising,facebook,
free trial cta - top,home page,marketing site,,?,,
,mls association clareity,clareity,,Partnerships,mls association clareity,
landing page,past trials w/ no conversion flow,past trials - no conversion,,?,,
mailchimp,email,,,Email,mailchimp,
outbrain,ppc,outbrain,,Advertising,outbrain,
post,crmsolutiongmail,,,?,,
post,salesforceintegration,,,?,,
post,sandy3,,,?,,
post,twitter,,,Social,twitter,
ppc,adwords,,,Advertising,,
ppc,cpc,,,Advertising,,
profile,twitter,,,Social,twitter,
profile,zapier,,,Integration,zapier,
referral,,,,Referral,,
remarketing,ppc,,,Advertising,,
reseller+partners,other+campaigns,reseller+partners,,Referral,reseller partners,
sales_page,betalist_bundle,,,?,,
search,,,,Organic,,
social,disqus,,disqus.com,Social,disqus,
social,facebook.com,,,Social,facebook,
social,linkedin.com,,,Social,linkedin,
social,pinterest,,in.pinterest.com,Social,pinterest,
social,twitter.com,,,Social,twitter,
taboola,ppc,,,Advertising,taboola,
trial cta,,,,?,,
twitter,,,,Social,twitter,
uberflip,,,,Uberflip,,
unknown,blog post cta,,,Internal,,
,,,accounts.google.com,Exclude,,
,next.36kr.com,,next.36kr.com,Referral,,
user invite,other campaigns,user invite,,Referral,,
user+invite,,,,Referral,,
Reseller Partners,Other Campaigns,,,Partnership,,
Register for webinar RESAAS & Contactually,RESAAS Users,,,Partnership,,
,,,bookyourselfsolid.com,Partnership,,
,,,bookyourselfsolidmentoring.com,Partnership,,
,,,ewebinars.com,Partnership,,
,,,ianbrodie.s3.amazonaws.com,Partnership,,
,,,michael.infusionsoft.com,Partnership,,
,,,michaelport.com,Partnership,,
,,,theartofcharm.com,Partnership,,
,,,contactually.com,Internal,,
,,,t.co,Social,twitter,
,,,google.%,Organic,google,
,,,bing.com,Organic,bing,
,,,linkedin.com,Social,linkedin,